Barcode Number,id,Product name,Price,Description,Quantity ,First Name,Last Name,Phone number(Cust),Purchase Date,Last Stock Date,Brand
21695-084,1,Bell Pepper - Red,$321.65,"Reposition Left Lacrimal Bone, Percutaneous Endoscopic Approach",1,Bradford,Tomas,285-610-4158,5/29/2022,11/27/2019,Naproxen
0591-3757,2,Mackerel Whole Fresh,$256.16,"Excision of Chest Wall, Open Approach",2,Ronda,Bohje,248-458-7527,12/20/2019,5/15/2021,Amlodipine besylate and benazepril hydrochloride
52125-371,3,Squash - Sunburst,$2.36,"Alteration of Left Buttock, Open Approach",3,Reinaldos,Coslett,692-947-0991,1/28/2021,9/24/2018,Amlodipine Besylate
0591-0783,4,Wine - Ruffino Chianti Classico,$285.30,"Fragmentation in Left Kidney Pelvis, Percutaneous Approach",4,Jocelin,Eburne,861-157-3467,3/13/2022,11/28/2019,Diethylpropion HCl Immediate-Release
13668-080,5,"Doilies - 12, Paper",$351.18,Ear Protector Attentuation Assessment using Occupational Hearing Equipment,5,Colver,Patience,333-770-1398,3/30/2020,10/14/2020,Montelukast Sodium
52544-149,6,Butter - Salted,$29.38,"Extirpation of Matter from Left Metatarsal-Tarsal Joint, Percutaneous Endoscopic Approach",6,Augustina,Millgate,237-834-4691,9/2/2020,5/15/2021,Nulecit
68151-0079,7,Eggplant - Baby,$149.44,"Drainage of Mediastinum, Percutaneous Endoscopic Approach",7,Inger,Crisell,656-103-0408,3/31/2021,2/28/2019,Ticlopidine Hydrochloride
37000-353,8,Lighter - Bbq,$205.11,"Introduction of Monoclonal Antibody into Genitourinary Tract, Via Natural or Artificial Opening",8,Rosabella,Lavell,207-933-1490,3/5/2023,11/17/2018,Olay Total Effects CC Tone Correcting
36987-3236,9,Hand Towel,$239.23,"Repair Left Lower Lobe Bronchus, Percutaneous Approach",9,Donalt,McGiffin,327-424-2636,10/4/2021,7/23/2019,Lamb Quarters
0078-0522,10,Glaze - Apricot,$305.27,"Reposition Right Temporal Bone, Percutaneous Approach",10,Bard,Drayton,791-165-4552,8/24/2022,9/10/2020,Tekturna HCT
49999-693,11,Wine - Magnotta - Pinot Gris Sr,$42.69,"Dilation of Left Vertebral Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",11,Darrell,Duckerin,408-583-0122,5/3/2020,8/5/2018,Tramadol Hydrochloride and Acetaminophen
68084-381,12,Beef - Top Butt,$236.23,"Revision of Nonautologous Tissue Substitute in Left Breast, Via Natural or Artificial Opening Endoscopic",12,Charissa,Danigel,789-633-0314,4/1/2021,1/9/2023,Benztropine Mesylate
54569-1647,13,"Zucchini - Mini, Green",$189.80,"Bypass Right Subclavian Artery to Right Pulmonary Artery, Open Approach",13,Mignonne,Cullinane,743-524-4660,4/24/2022,4/28/2020,Lidocaine Hydrochloride and Epinephrine
54868-2264,14,Gingerale - Diet - Schweppes,$314.26,"Removal of Nonautologous Tissue Substitute from Cervicothoracic Vertebral Joint, Percutaneous Endoscopic Approach",14,Etienne,Dmitrievski,718-732-8891,7/20/2020,1/8/2019,Fluocinolone Acetonide
52685-302,15,Seabream Whole Farmed,$207.39,"Dilation of Left Vertebral Artery, Bifurcation, with Three Intraluminal Devices, Open Approach",15,Marleah,Andrews,182-963-9932,2/22/2019,3/26/2019,CLE DE PEAU BEAUTE
49349-955,16,Huck White Towels,$496.47,"Destruction of Perineum Bursa and Ligament, Open Approach",16,Nanette,Brooke,899-874-9658,4/17/2023,7/13/2022,Diclofenac Potassium
58118-5040,17,Buffalo - Striploin,$279.96,"Drainage of Left Glenoid Cavity, Percutaneous Endoscopic Approach",17,Ginevra,Izacenko,814-447-4758,7/8/2021,1/8/2021,NEXIUM
59316-104,18,"Tuna - Canned, Flaked, Light",$456.21,"Reposition Left Sphenoid Bone with Internal Fixation Device, Percutaneous Endoscopic Approach",18,Merrick,Mattielli,736-108-4288,4/18/2022,6/9/2021,Biofreeze
36987-1021,19,Snapple Lemon Tea,$13.24,"Drainage of Right Upper Extremity Lymphatic, Open Approach, Diagnostic",19,Artur,Patridge,695-773-4822,7/4/2022,4/1/2023,Chicken Feathers
49288-0369,20,Shrimp - Black Tiger 16/20,$46.46,"Dilation of Right Fallopian Tube, Open Approach",20,Baird,Clemetts,451-926-2101,4/24/2019,11/2/2020,Pullularia
11716-9637,21,Mushroom - Crimini,$440.49,"Removal of Infusion Device from Ureter, Open Approach",21,Basilius,Bootell,242-382-8030,11/25/2022,9/1/2019,LEADER DRY EYE RELIEF
51346-121,22,"Wine - Red, Black Opal Shiraz",$482.51,"Dilation of Face Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach",22,Portia,Garlinge,769-363-3884,7/10/2022,1/13/2022,THE BAMBOO OF DAMYANG MOISTURE TONER
24794-221,23,Bread - Assorted Rolls,$323.62,Fluoroscopy of Left Heart using High Osmolar Contrast,23,Steffen,Batham,793-472-5851,7/9/2022,6/27/2019,Gumnumb Topical Anesthetic
54575-224,24,Butter - Pod,$483.32,"Occlusion of Splenic Artery with Intraluminal Device, Open Approach",24,Saundra,Kruger,632-183-3163,7/6/2021,3/21/2022,TRICHOPHYTON MENTAGROPHYTES
55111-352,25,Salt - Kosher,$498.20,"Drainage of Left Ankle Joint, Percutaneous Endoscopic Approach, Diagnostic",25,Rutledge,Pomphrett,416-791-2795,9/1/2019,1/19/2020,Rivastigmine Tartrate
48951-1126,26,"Pesto - Primerba, Paste",$213.50,"Introduction of Nonautologous Fertilized Ovum into Female Reproductive, Percutaneous Approach",26,Arleyne,Marshal,559-256-0124,1/27/2021,11/12/2021,Arnica e pl. tota 3
0095-0108,27,Chocolate - Semi Sweet,$35.19,"Repair Stomach, Via Natural or Artificial Opening Endoscopic",27,Alfi,Everley,706-782-5208,2/4/2020,9/18/2018,TussiCaps
0944-4351,28,Ketchup - Tomato,$68.65,"Release Right Humeral Head, Open Approach",28,Dick,Rayner,724-713-6692,3/4/2021,8/27/2020,ARTISS
76335-001,29,"Beef - Baby, Liver",$332.77,Change Intermittent Pressure Device on Right Lower Extremity,29,Jere,Windsor,744-571-5156,7/15/2019,5/30/2020,Energy Enhancer
